UUID,Void/Retire,Name,Description,Parent,Tags,_order:1
777984f1-fbee-4de7-aadf-39ac36a89680,,Bukora Health Center,"Bukora Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there",,Visit Location
e43f9620-3362-4134-adcd-cab15afad649,TRUE,Burera,ART site in Nothern Rwanda,,
a62fd59a-6577-43e0-b39c-ba42ac8cfbc9,,Butaro Hospital,Butaro District Hospital Fosa ID 322,,Visit Location
885f137a-7ca4-4996-b111-4c76fe1ccb38,,Cyarubare Health Center,"Cyarubare Health Center - A MoH health center supported by PIH which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there",Rwinkwavu Hospital,Visit Location
873605f2-ce91-46a1-969c-739342bf1b1d,TRUE,delete,Rutare Health Center- MoH health facility within Rwinkwavu hospital catchment area,,
8f6d0fd0-8af9-49c3-bfb1-f6fc608ed040,,Gahara Health Center,"A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there",,Visit Location
bd131526-775d-4021-9f11-e3cb3ec225b5,,Gashongora Health Center,Gashongora Health Center - A Kirehe District Health Center which began ART services via mobile clinic from Kirehe Hospital in late 2009,,Visit Location
a2e19892-26fe-102b-80cb-0017a47871b2,TRUE,Gasiza,Gasiza is one of Ruhengeri ART sites.,,
ec098275-651d-4852-9603-aa0e1d88297f,,Gihinga,FOSAID: 448 TYPE: CS,,Visit Location
39619783-d4ae-4b08-9ef3-a35bea553c3e,,Kabarondo Health Center,Kabarondo Health Center - A MoH health center which is PIH-supported in the Rwinkwavu Hospital catchment area,Rwinkwavu Hospital,Visit Location
9ce5d017-e724-4576-9e2b-c71a2287bc41,,Kabuye Health Center,Kabuye Health Center - A HC in Kirehe District which began providing ART services in early 2010 via mobile clinic from Mulindi HC,,Visit Location
3f4212a7-e276-4953-951f-abf5f0676dee,,Kageyo Health Center,Kageyo a Kayonza health center,Rwinkwavu Hospital,Visit Location
1460de5b-566e-4ea4-a0d9-8312b0a2ce22,,Karama Health Center,"Karama Health Center - A MoH health center (not PIH-supported) which is in the Rwinkwavu Hospital catchment area, and has CD4 counts done there",Rwinkwavu Hospital,Visit Location
0208e04c-0a53-474a-aa1d-b0a5ad4ae351,,Kayonza District,,,
3f77de86-20cf-4b70-821d-44649530f97c,,Kibungo Prison,A prison in Kibungo where some PIH patients are incarcerated,,Visit Location
db74d8f5-2df3-4b90-af7f-c6d988151e53,,Kigarama Health Center,A MoH health center supported by PIH which is in the Kirehe Hospital catchment area. FosaId:1460,Kirehe Hospital,Visit Location
942f82ec-2601-4f5e-9a03-ca89b0728046,,Kigina Health Center,"Kigina Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there",,Visit Location
a2e189e2-26fe-102b-80cb-0017a47871b2,,Kirehe Health Center,Kirehe Health Center - A PIH-supported MoH Health Center. Fosa ID: 423,,Visit Location
d79987bd-36e1-41da-b53d-225b1ee7cdd8,,Kirehe Hospital,"Kirehe District Hospital-A MoH health center supported by PIH which is in the Kirehe Hospital catchment area, and has CD4 counts done there",,Visit Location
8556eb53-11ab-4423-9659-a6c859b39121,,Mahama Health Center,Mahama Health Center - A PIH-supported MoH Health Center,,Visit Location
9496a55d-bb9e-41ec-bdac-5c0c0dd50e2b,,Muhima,FOSAID: 7 TYPE: CS,,Visit Location
a2e185c8-26fe-102b-80cb-0017a47871b2,,Mulindi Health Center,"Mulindi Health Center, a PIH-supported MoH health center",,Visit Location
431e715c-b98e-4eae-819b-5f94b147fced,,Musaza Health Center,Musaza Health Center,,Visit Location
b5bbea30-ce75-48e2-b3d6-6c7153d33b01,,Mushikiri Health Center,Mushikiri Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area,,Visit Location
caf49ac0-53b6-4191-9267-dbf48df7eac2,,Nasho Health Center,Nasho Health Center - A PIH-supported MoH Heath Center,,Visit Location
a2e19a9a-26fe-102b-80cb-0017a47871b2,,Ndego Health Center,Ndego Health Center - A PIH-supported MoH Health Center,Rwinkwavu Hospital,Visit Location
87c9b99f-4143-4c2d-a1a1-96af8d19f7b9,,Nsinda Prison,Nsinda Prison is a prison where PIH provides ART and TB treatment,,Visit Location
e9fdcfce-4ee6-44af-8406-640d07c2a3aa,,Ntaruka Health Center,Ntaruka Health Center - A MoH health center supported by PIH which is in the Kirehe Hospital catchment area,,Visit Location
