UUID,Void/Retire,Name,Description
4d912c22-26fe-102b-80cb-0017a47871b2,,ACCOMPAGNATEUR MED PICKUP,When the accompagnateur comes to pickup patients m
2536a097-3411-41ee-afea-cd7341d5c13e,,Acute Care Registration,Hospital emergency room registration
d867ca1c-0104-4768-87a7-14333d395da1,TRUE,Adherence Survey (Research),An adherence survey.
e22e39fd-7db2-45e7-80f1-60fa0d5a4378,,Admission,"Indicates that the patient has been admitted for inpatient care, and is not expected to leave the hospital unless discharged."
8e3c016e-cfca-407a-8214-2f071b3d8da2,,admission Clinical and Bill,admission Clinical and GBl
4d912e98-26fe-102b-80cb-0017a47871b2,,ADULT 12 MONTH VISIT,More extensive 12 month visit for adults
4d912d4e-26fe-102b-80cb-0017a47871b2,,ADULT 6 MONTH VISIT,"More extensive 6 month consult visit for adults"
c1c39e98-2f2d-432b-8cc9-b2f273209c29,,Adult HIV,Encounter for the Adult HIV Flowsheet
4d911d04-26fe-102b-80cb-0017a47871b2,,ADULT INITIAL VISIT,Outpatient Adult Initial Visit
3caf2350-98f3-483e-9c99-bfb59f0198d3,TRUE,Adult Initial Visit (Research),"An initial visit encounter, entered for research p"
4d911f5c-26fe-102b-80cb-0017a47871b2,,ADULT RETURN VISIT,Outpatient Adult Return Visit
51513701-76d0-44cc-9f44-0bfdeaeda78b,TRUE,Adult Return Visit (Research),"An return visit encounter, entered for research pu"
5fe002a9-a457-46e0-b938-221695a2a03e,,ANAESTHESIA VISIT,ANAESTHESIA VISIT
a703372d-28b7-4831-9817-ee385c8c47d8,,ANC visit,ANC visit
03c36ceb-d4c5-441f-aca5-d88fdd9b6964,,Anesthesia Record,Anesthesia Record
d088d4ed-b51b-46fd-ae73-30a1669b60d6,,ASRH Visit,ASRH Visit
820004cd-5f2b-40a9-bf26-bf6f5a945790,,ASTHMA VISIT,ASTHMA VISIT
5021b1a1-e7f6-44b4-ba02-da2f2bcf8718,,Attachment Upload,Encounters used to record uploads of attachments.
b5b00648-739a-40f8-a509-da2d03ce9dc0,,Cause of Death visit,Cause of Death visit
66b9053c-c97d-4a6a-992f-0d9af3c17abd,,CheckIn visit,CheckIn visit
710c8487-9831-4063-a79d-bf07f27653b2,,CHRONIC KIDNEY DISEASE VISIT,Chronic Kidney Disease Encounter Type
75caca4e-33ca-4b0a-aa63-5ed29f3000f0,,Consultation encounter,Out/In patient Consultation encounter
3c2a7c11-36b6-4593-85c5-be98713ae288,,Consumables,Consumables
b3572d77-82af-48f7-bbe7-c9c06aa24a45,,Diabetes and Cardiovascular Screening,NCD Diabetes and Cardiovascular Screening
d8327a41-a0cc-49c5-af0e-63f0ba960330,,DIABETES VISIT,Diabetes visit encounter type.
e9355a6e-b2df-44b4-911c-104c6a41ed24,,Diagnosis,Diagnosis recorded
13703c92-58d2-4d04-a320-8d4699380676,,Discharge Clinical and Bill,Discharge Clinical and Bill
97de5563-b775-40ad-b72e-444eee8144d3,,Discharge From PACU,Discharge From PACU
46212022-c447-462f-a85e-65f8d6fac788,,Drug administration,Drug administration
a9ef19d1-8875-11ea-8c74-7a7919290ad6,,Drug Order Encounter,Encounter type used for recording drug orders in an encounter when no existing encounter is available
7e51bf4c-1276-48e3-8b8c-eaa1dd0a6dca,,EPILEPSY VISIT,EPILEPSY VISIT
f7776201-dfaa-4890-bf9d-080c1639f991,,Exposed Infant,Exposed Infant Encounter
570556f2-7080-49f6-9ef3-301feb313896,,External Oncology,External Oncology
36167d4a-2a8b-4de2-a392-5e365107856e,,Family Planning,Family Planning
76162246-15d8-43b0-9666-5884ad1e2be4,,Findings,An encounter type representing discovery of findings/symptoms during an initial primary care visit.
c34caa2c-5795-4d3c-9a1e-1a9f0ede5141,,Flowsheet,OPD/Inpatient department flowsheet
83409460-3e78-420a-8e42-233ae4a02edb,,GBV encounter,GBV encounter
03a36a73-ea74-4051-96b0-647e44862026,,General Followup,General Followup
7ddfed03-0a3d-46ec-a079-05fa127ba229,,General OPD,General OPD
d889bcb3-c99d-4648-a3ea-b373335b9efd,,HEART FAILURE VISIT,Encounter type to support Heart Failure encunters that are captured via HF flowsheet.
735a3bd0-0daa-4ee7-8bea-dc4c99f9ec1b,,HF HTN CKD,"encounter type for Heart failure,Hypertension,Chronical Kidney Disease"
2dc31190-cf0e-4ab0-a5a1-6ad601d6ecc0,,HIV VISIT,Encounter for the  HIV visit
4d912fce-26fe-102b-80cb-0017a47871b2,,HOME VISIT,Visit that takes place at the patient's house.
afa9251e-5d99-44dd-96d9-c0c8f54614d6,,HTC visit,HTC visit
2f75f29f-454d-4e91-915c-ec3fd49532b1,,HYPERTENSION VISIT,Hypertension Visit
462e7e66-8d01-4d43-af1f-b80c1a5239c8,,IMNCI VISIT,Encounter for IMNCI(PECIME) Visits
