uuid,Void/Retire,Frequency per day,Concept Frequency
707ad8b7-d902-11ea-80fb-0242ac110002,FALSE,1,37328251-6759-4270-8a2e-8cab2c0b315b
87ea7c89-d8f9-11ea-80fb-0242ac110002,FALSE,2,586f1146-8737-4827-8cfa-3b72d71ebd8b
d8290a00-d926-11ea-8b36-0242ac110002,FALSE,3,46a4d3d6-86d0-491f-be00-d151246caec3
405a5af1-d927-11ea-8b36-0242ac110002,FALSE,4,bb025463-8631-4475-952d-1c5c83d8aa32
a2f03aa2-eedf-11ea-b492-0242ac110002,FALSE,5,ee751fa5-1531-4722-ac64-f2e48898d989
f11513cb-eee1-11ea-b492-0242ac110002,FALSE,6,b928c4d8-7b3f-40db-9a62-c98a3ba1c9aa
9212ab7b-eee4-11ea-b492-0242ac110002,FALSE,7,e0d3e5bd-8a64-42cf-82c3-57e7374935f1
b9325405-eee4-11ea-b492-0242ac110002,FALSE,8,ca168d0f-a877-44d5-9046-916af29fea6a
bfed09ad-eee4-11ea-b492-0242ac110002,FALSE,10,a08e1735-303a-4bab-8292-4584e6edadcb
e953796c-eee4-11ea-b492-0242ac110002,FALSE,0.5,eca59e5a-eee4-11ea-b492-0242ac110002
b7ce2f36-d927-11ea-8b36-0242ac110002,FALSE,1,b8f079b5-10a5-4716-bc0d-40bdcffdc6b4
41d3b6ea-eee1-11ea-b492-0242ac110002,FALSE,1,3ce1065e-26fe-102b-80cb-0017a47871b2
06a2322b-d928-11ea-8b36-0242ac110002,FALSE,4,162249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
a172f8da-eed5-11ea-b492-0242ac110002,FALSE,1,f00ac3a0-cd51-4446-bf31-bc6d3e4b124d
676806ed-f1fb-11ea-9043-0242ac110002,FALSE,1,3f625ca6-4d13-4f4f-b9b7-c95cea6a774d
0d911959-eeb7-11ea-b492-0242ac110002,FALSE,1,246eb18b-eeb7-11ea-b492-0242ac110002
814e0375-eebd-11ea-b492-0242ac110002,FALSE,1,84052535-eebd-11ea-b492-0242ac110002
cedfb7df-eeb9-11ea-b492-0242ac110002,FALSE,1,ee8c2a27-eeb9-11ea-b492-0242ac110002
9f2a41f8-eebe-11ea-b492-0242ac110002,FALSE,1,a1e7c47a-eebe-11ea-b492-0242ac110002
e94f2fb7-eebe-11ea-b492-0242ac110002,FALSE,1,eb62a9b4-eebe-11ea-b492-0242ac110002
dddd3f36-eebf-11ea-b492-0242ac110002,FALSE,1,e0cd8128-eebf-11ea-b492-0242ac110002
faca911d-eec0-11ea-b492-0242ac110002,FALSE,1,fd59b92a-eec0-11ea-b492-0242ac110002
1f128764-eec1-11ea-b492-0242ac110002,FALSE,1,21b6d7ac-eec1-11ea-b492-0242ac110002
32c9ec1d-eec0-11ea-b492-0242ac110002,FALSE,1,356ef194-eec0-11ea-b492-0242ac110002
e0787d84-eebd-11ea-b492-0242ac110002,FALSE,1,e3b20f36-eebd-11ea-b492-0242ac110002
29deb79a-eebe-11ea-b492-0242ac110002,FALSE,1,2089f18e-eebe-11ea-b492-0242ac110002
4de4fcfa-eec1-11ea-b492-0242ac110002,FALSE,1,507912be-eec1-11ea-b492-0242ac110002
63b71a52-eec1-11ea-b492-0242ac110002,FALSE,1,6616ee31-eec1-11ea-b492-0242ac110002
97e5165d-eec1-11ea-b492-0242ac110002,FALSE,1,99ef3f44-eec1-11ea-b492-0242ac110002
ac76abb1-eec1-11ea-b492-0242ac110002,FALSE,1,af534f6e-eec1-11ea-b492-0242ac110002
c0b180ad-eec1-11ea-b492-0242ac110002,FALSE,1,c2f16712-eec1-11ea-b492-0242ac110002
c5ba3e91-eec1-11ea-b492-0242ac110002,FALSE,1,c80d99bc-eec1-11ea-b492-0242ac110002
caa0186e-eec1-11ea-b492-0242ac110002,FALSE,1,cd42dbd5-eec1-11ea-b492-0242ac110002
4d2b1c81-eec2-11ea-b492-0242ac110002,FALSE,4,dac01643-82fd-490d-ab5a-e436933e213d
5015a513-eec2-11ea-b492-0242ac110002,FALSE,1,bfcbd69d-fd89-4a2c-ba4b-46b0d3f9a4cb
5251c49c-eec2-11ea-b492-0242ac110002,FALSE,1,20c64b8d-9c98-4e52-838d-95543be06a49
bfc113ff-f21d-11ea-ba0d-0242ac110002,FALSE,1,979d8946-5087-46c7-85d4-c2b39f659567
591caef9-eee5-11ea-b492-0242ac110002,FALSE,1,a35c8540-de27-4e5e-b6df-ba5e55d649c5
78e94efd-eee5-11ea-b492-0242ac110002,FALSE,1,6cdd6363-6b01-42b3-a6a1-f54e5b221c72
a19b82b8-eee5-11ea-b492-0242ac110002,FALSE,1,62e28058-baa4-4b8b-8158-77acfa3a50f3
c1012523-eedd-11ea-b492-0242ac110002,FALSE,1,8ca69946-09fd-4472-ae2c-f70599d513a9
99f67f2c-eedd-11ea-b492-0242ac110002,FALSE,1,51f3a7e0-dafa-49d4-9139-90862a282546
07d0d2da-eee6-11ea-b492-0242ac110002,FALSE,2,6fead0f6-42fb-431e-baf5-5b8316ac6691
ea9570c0-eedd-11ea-b492-0242ac110002,FALSE,2,0e0722d4-d5cf-4339-a76a-33a30e6cc2f5
2faf7893-eee6-11ea-b492-0242ac110002,FALSE,2,b9457b6e-407a-4adf-a886-7900fddbe1d0
3dcde2f7-eee6-11ea-b492-0242ac110002,FALSE,2,84363ce1-2d63-4866-bfcb-80dbf8b8ac3e
1f7a11ab-eede-11ea-b492-0242ac110002,FALSE,2,fe2651f2-b65a-4680-b7f8-3542bd23413d
3b98dd2a-eede-11ea-b492-0242ac110002,FALSE,2,b25d698c-b552-42b6-b520-a345f3b4b393
7db919ac-eee6-11ea-b492-0242ac110002,FALSE,3,4a0f148f-1af1-4c72-802f-fe6d51a2e690
bd47402f-eee6-11ea-b492-0242ac110002,FALSE,3,7180ca26-e287-4c3d-94d3-27d2e3626fc0
d8c02bda-eee6-11ea-b492-0242ac110002,FALSE,3,64a0c4f0-938b-4b8c-9ef3-7f843ca19ae0
0770312e-eee7-11ea-b492-0242ac110002,FALSE,3,c66aefef-0b89-49ab-901f-c8c43c0a61ec
7e8c69db-eedd-11ea-b492-0242ac110002,FALSE,3,792d9564-81f2-49d0-95d8-8a54ca7384e3
4d9de495-eede-11ea-b492-0242ac110002,FALSE,3,e9f872a2-c25a-4c20-8c71-689a4a303333
3825308a-f21d-11ea-ba0d-0242ac110002,FALSE,4,58a08e07-f21d-11ea-ba0d-0242ac110002
76b219e0-eede-11ea-b492-0242ac110002,FALSE,4,2801b7a6-d5e7-41ae-8cfc-6797f66b1353
e1364e2d-2a6a-11eb-97f5-0242ac110002,FALSE,7,e5996013-2a6a-11eb-97f5-0242ac110002
921a4b34-f21d-11ea-ba0d-0242ac110002,FALSE,7,24a7bf39-350e-45ec-b0fd-28c0645f9a1e
b57bbf2d-29c5-11eb-ba7e-0242ac110002,FALSE,10,baabbdb4-29c5-11eb-ba7e-0242ac110002
9ba30267-f21d-11ea-ba0d-0242ac110002,FALSE,10,73c1e8ae-3445-4405-877f-5da480579a56
18b0b7ee-0fcf-4bf8-895d-918f09da994c,FALSE,3,d02dc36f-1562-4563-92c5-5081669143ae
d4c9fd12-b835-41ba-8f5c-8689a8f1bac5,FALSE,2,c6bef03f-5912-49f9-a099-d5787420fcac
76e87131-a54b-4e11-ba60-9169338c3567,FALSE,2,c2b21076-2df6-413c-bef0-206aa03f5330
96f26e24-87d6-4d43-89dc-35e4b4dec687,FALSE,1,91ffc602-6d71-494a-8c01-15f87b3880c4
c290cd59-1f14-41fe-88c9-4db68fe7b9ea,FALSE,1,86d64dea-ac19-42be-b77a-11cd9455ee35
7bfebef9-6e56-4d4f-9048-0837b5069cfe,FALSE,4,ee006882-58b1-4a48-a4ff-3c71e8128e1b
f7bac311-7df7-43a2-99a9-460cc388d182,FALSE,3,51689a89-5182-4bfa-a356-82dc0eb10dd9
1c1236fe-d2d8-4d4a-a3b5-d87cc6565d34,FALSE,6,3dea600c-8741-418b-893e-23accb88a991
8ce3a256-d402-4dca-a0d3-baece5fff8b1,FALSE,1,1cde3d52-48aa-11ec-8586-001e68a9fdcf
bf4ee504-517d-4f60-8bad-98ff5cf9ebf2,FALSE,1,c757d1ef-881a-47c2-a0a7-2013ec539220
5d5ff6dc-0bb3-4b45-ae63-212908d6001b,FALSE,4,5fed51f5-7edf-442b-b231-8ac69b4a96e1
ffbcd82c-0f3b-497a-8f9b-f7353909544f,FALSE,1,55d85c15-25d6-4865-8974-ee329cf20471
1589f09f-99e9-4b50-82cc-688bce106246,FALSE,6,47ffe072-1ff5-48ba-86fe-4e3e0d880326
