Uuid,Name,Description,Required,Format,Format description,Validator,Location behavior,Uniqueness behavior,Void/Retire
${identifier.archivingId.uuid},ARCHIVING ID,ARCHIVING ID,FALSE,,,,,,
c147ae5a-2700-102b-80cb-0017a47871b2,Carte d'Identité,Rwandan national identity card,FALSE,"",,,,,
c147a9b4-2700-102b-80cb-0017a47871b2,HIVEMR-V1,Internal patient_id from PIH's original Rwanda EMR,FALSE,"",,,,,
c147b1de-2700-102b-80cb-0017a47871b2,IMB ID,ID assigned by Inshuti Mu Buzima,FALSE,,,org.openmrs.patient.impl.VerhoeffIdentifierValidator,,,
4e458867-9a68-4e55-9fe0-fb49fac4e6b0,IMB Primary Care Registration ID,IMB Primary Care Registration ID,FALSE,,,org.openmrs.module.rwandaprimarycare.validator.IdentifierValidatorRwanda,,,
5501d122-0aa3-4d9c-af32-30047c54cb42,Incorrect IMB ID,"Invalid IMB IDs, having either an incorrect check digit or invalid format.",FALSE,"","","",,,
0f7d2e40-956a-11ef-93fa-0242ac120002,NID Application Number,National ID Application Number,FALSE,,,,NOT_USED,,
0c69d739-956a-11ef-93fa-0242ac120002,NIN,NIN,FALSE,,,,NOT_USED,,
a5d38e09-efcb-4d91-a526-50ce1ba5011a,OpenEMPI ID,Specifies UUID of the identifier type that is used as the Global Identifier Domain (GID) in the MPI. It is generated by the MPI and is persisted in OpenMRS.,FALSE,,,,NOT_USED,,
12a72978-956a-11ef-93fa-0242ac120002,Passport Number,Passport Number,FALSE,,,,NOT_USED,,
ed52ec82-4b7c-411b-804a-13bd9651bb3e,Rwanda National ID,National ID card with photo distributed to all Rwandan adults by the Rwandan Government from 2008,FALSE,[0-9]{16},16 numbers found on the ID card,,NOT_USED,,
c147ac70-2700-102b-80cb-0017a47871b2,Social Security Number,Number given out in the United States to track social security benefits and often used as a unique identifier..,FALSE,,,,,,
c147b01c-2700-102b-80cb-0017a47871b2,TRACnet ID,Identifier assigned by Rwanda's national TRACnet system,FALSE,"",,,,,
01edaedd-956a-11ef-93fa-0242ac120002,UPID,UPID,FALSE,,,,NOT_USED,,
